Food Name,Food Type,Spice,Diet
675e5d9513ccb1d71fe0986d,Fast Food,High,Non-Veg
675e5e8b13ccb1d71fe09880,Fast Food,High,Non-Veg
675e625313ccb1d71fe09884,Fast Food,High,Veg
675e62e513ccb1d71fe09887,Fast Food,Medium,Non-Veg
675e633013ccb1d71fe09889,Fast Food,Low,Non-Veg
675e63e813ccb1d71fe09899,Fast Food,Low,Veg
675e640513ccb1d71fe0989b,Fast Food,Low,Non-Veg
675e652213ccb1d71fe0989f,Fast Food,Low,Veg
675e656513ccb1d71fe098a1,Fast Food,High,Non-Veg
675e662b13ccb1d71fe098ad,Fast Food,High,Non-Veg
675e667a13ccb1d71fe098b0,Fast Food,Medium,Veg
